,Package name,Reviewer name,Review,Rating
0,com.iojess.todont,Jay Robson,ad amazing also earn colourful streak def good way thing like stop skin picking good getting aware daily build habit forget goal stop also think ad would def major detraction app based thing satisfying yk getting dopamine running hate seeing ad lol thanks adding ad,5
1,com.iojess.todont,Kelly S,awesome thank much would love see someday ability change color put certain habit hold hide set notification per habit basis agree user requesting widget option habit frequency,5
2,com.iojess.todont,Joshua Anderson,nice looking work exactly expected notification reminder really nice,5
3,com.iojess.todont,dominik milien,found easter egg click yes multiple time love much go ahead give five star,5
4,com.iojess.todont,Sayantan Bhakat,great please add list monthly basis also add sublist list helpful many user like,5
5,com.iojess.todont,mr X,nice app really simple interface help lot keep track habit everyone give try,5
6,com.iojess.todont,Mr. LittleAnt,simple efficiency highly recommend ad,5
7,com.iojess.todont,Kavitha G,simple point bad habit breaker hopefully help break mine,5
8,com.iojess.todont,Luka Brnic,want keep clicking untill bear appears,5
9,com.iojess.todont,--,god bless jesse free app wish best luck future development,5
10,com.iojess.todont,Mita Patel,really nice app,5
11,com.iojess.todont,Paula Meldrum,really useful,5
12,com.iojess.todont,K,widget,1
